ngram,muscle,musle,mscle,mscle
2000,2.9901342713856138e-05,1.4139422727892687e-09,2.1131001313813768e-10,2.1131001313813768e-10
2001,3.0102325451610212e-05,1.4890294790832164e-09,2.0194208309533479e-10,2.0194208309533479e-10
2002,3.076446046179626e-05,1.3690523238883502e-09,1.8074353422666992e-10,1.8074353422666992e-10
2003,3.1321778546303646e-05,1.3519361106796778e-09,1.521036699370093e-10,1.521036699370093e-10
2004,3.152520990365052e-05,1.289678411683529e-09,1.5573825859879368e-10,1.5573825859879368e-10
2005,3.220348688565926e-05,1.1513517996140722e-09,1.558516877061703e-10,1.558516877061703e-10
2006,3.265928535256535e-05,1.0170438538966868e-09,1.3792192289046364e-10,1.3792192289046364e-10
2007,3.3130715954549874e-05,1.0366399722754644e-09,1.3325368883717762e-10,1.3325368883717762e-10
2008,3.444837628714075e-05,9.264033112061603e-10,1.2311222874483718e-10,1.2311222874483718e-10
2009,3.679350629681721e-05,1.0889436891885801e-09,1.1652380028132862e-10,1.1652380028132862e-10
2010,3.8354801030696505e-05,1.1478202753347132e-09,1.0514328495160794e-10,1.0514328495160794e-10
2011,3.92546270242227e-05,1.1013856731396337e-09,1.0393083814199043e-10,1.0393083814199043e-10
2012,4.0079425941387725e-05,1.0931626397742938e-09,7.449054071985626e-11,7.449054071985626e-11
2013,4.061771479817773e-05,1.1069314433319123e-09,4.3611106789346163e-11,4.3611106789346163e-11
2014,4.055944789018083e-05,1.0770102349637917e-09,2.7509623547393248e-11,2.7509623547393248e-11
2015,3.940907793418903e-05,1.0539050346710814e-09,3.8370966126688444e-11,3.8370966126688444e-11
2016,3.661683721085345e-05,7.866344163355774e-10,3.4222286958627917e-11,3.4222286958627917e-11
2017,3.537640380576098e-05,6.263912074218799e-10,3.514978932916968e-11,3.514978932916968e-11
2018,3.499213344184682e-05,6.541791108816141e-10,2.268168014518679e-11,2.268168014518679e-11
2019,3.369054138602223e-05,6.495183835220075e-10,1.900734951376659e-11,1.900734951376659e-11
