ngram,price,prce,prcie,priice
1989,0.0001559169197987233,4.772185218422058e-09,1.1061634990919674e-10,1.0382793340368845e-09
1990,0.00015242453082464635,4.845033866171125e-09,1.1061634990919674e-10,1.6771593092498475e-10
1991,0.00015065640036482364,4.246078536393075e-09,1.0983502500362872e-10,1.1469912866712839e-10
1992,0.00014890129179028527,4.362942991014458e-09,1.0085749200091802e-10,1.1382739988669804e-10
1993,0.00014597214716819247,4.471183899314366e-09,8.563879664937244e-11,1.1980156351081613e-10
1994,0.00014335213096014092,4.285696496099587e-09,6.520772017586701e-11,1.064266284227828e-10
1995,0.000141382500130151,4.187247215625689e-09,8.382483596136581e-11,8.563239898919304e-11
1996,0.00013863254571333528,3.924329147356584e-09,7.7172824182657e-11,9.753653242215523e-11
1997,0.0001358055680092158,3.89375252675604e-09,7.7172824182657e-11,6.909680764063556e-11
1998,0.00013315305529561426,3.909027831586595e-09,8.215913068923949e-11,7.329163367478638e-11
1999,0.00012981919904372523,3.732313505874377e-09,8.02809267476588e-11,7.777577589899006e-11
2000,0.00012715162821612985,3.2536077958817647e-09,6.095684869565434e-11,7.008548652146348e-11
2001,0.00012376872161569606,3.1329422231099866e-09,5.302131898215252e-11,8.529767715560941e-11
2002,0.00012145313459248947,3.0095261520963437e-09,3.2841347201241684e-11,9.603478478717849e-11
2003,0.00011909569730050862,2.849252960552511e-09,3.799948451137831e-11,7.08266277967987e-11
2004,0.00011827430924833087,2.5263278453329416e-09,4.304603052975229e-11,5.93215788990964e-11
2005,0.000115931654623377,2.567437754460603e-09,3.645904907344035e-11,4.6956809472499723e-11
2006,0.00011335979797877371,2.459748944210511e-09,2.56125606834523e-11,4.12568932390516e-11
2007,0.00011166716389457829,2.2857021354992314e-09,2.56125606834523e-11,4.679878607654382e-11
2008,0.0001098247168036843,2.0654545454920228e-09,2.0541830637282085e-11,3.6877675020839466e-11
2009,0.00010575707087160222,1.7174766589070752e-09,1.9321955989558072e-11,3.858660464563433e-11
2010,0.00010302362352376804,1.3808073553603757e-09,2.235161088952926e-11,4.2680500750688235e-11
2011,9.813801963381203e-05,1.1424072442002752e-09,1.7305064871155272e-11,4.2680500750688235e-11
2012,9.451895623767217e-05,7.066560709605746e-10,1.2336471378168338e-11,3.77119072577013e-11
2013,9.258252664169828e-05,4.184480420895856e-10,1.768749407850466e-11,3.256533510116138e-11
2014,8.837318871103759e-05,2.4983769418364584e-10,5.40577461266567e-11,2.1831012939859437e-11
2015,8.383184363732912e-05,1.810536601595406e-10,5.40577461266567e-11,1.6539933361417856e-11
2016,8.198260392029104e-05,1.4786422681505636e-10,4.9909066958596175e-11,1.0352381898155144e-11
2017,8.042028881997491e-05,1.1996992982377108e-10,4.8674820539903095e-11,7.301566758618113e-12
2018,7.986536511452868e-05,1.2446584873870847e-10,5.840978464788371e-11,8.761880110341735e-12
2019,7.825808825145941e-05,1.1820330825251801e-10,7.301223080985464e-11,1.095235013792717e-11
